estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2,
"=A228+IF(H229=H228,I229-I228,I229)/86400000","=IF(H229=H228,I229-I228,I229)",,,current,227,True,578202819,84422131,True,True,True,True,True,1011,0.0,0.0,31.89,55.74,31.3,12.9,0,0,
"=A229+IF(H230=H229,I230-I229,I230)/86400000","=IF(H230=H229,I230-I229,I230)",,,current,228,True,578202819,84723110,True,True,True,True,True,1011,0.0,0.0,31.82,55.78,31.3,12.8,0,0,
"=A230+IF(H231=H230,I231-I230,I231)/86400000","=IF(H231=H230,I231-I230,I231)",,,current,229,True,578202819,85024090,True,True,True,True,True,1011,0.0,0.0,31.78,55.83,31.3,12.9,0,0,
"=A231+IF(H232=H231,I232-I231,I232)/86400000","=IF(H232=H231,I232-I231,I232)",,,current,230,True,578202819,85325104,True,True,True,True,True,1011,0.0,0.0,31.77,55.91,31.3,12.9,0,0,
"=A232+IF(H233=H232,I233-I232,I233)/86400000","=IF(H233=H232,I233-I232,I233)",,,current,231,True,578202819,85626062,True,True,True,True,True,1011,0.0,0.0,31.7,55.92,31.3,12.8,0,0,
"=A233+IF(H234=H233,I234-I233,I234)/86400000","=IF(H234=H233,I234-I233,I234)",,,current,232,True,578202819,85927022,True,True,True,True,True,1011,0.0,0.0,31.7,55.96,31.3,12.9,0,0,
"=A234+IF(H235=H234,I235-I234,I235)/86400000","=IF(H235=H234,I235-I234,I235)",,,current,233,True,578202819,86227984,True,True,True,True,True,1011,0.0,0.0,31.63,55.98,31.3,12.9,0,0,
"=A235+IF(H236=H235,I236-I235,I236)/86400000","=IF(H236=H235,I236-I235,I236)",,,current,234,True,578202819,86528946,True,True,True,True,True,1011,0.0,0.0,31.62,56.09,31.2,12.8,0,0,
"=A236+IF(H237=H236,I237-I236,I237)/86400000","=IF(H237=H236,I237-I236,I237)",,,current,235,True,578202819,86829910,True,True,True,True,True,1011,0.0,0.0,31.66,56.17,31.2,12.9,0,0,
"=A237+IF(H238=H237,I238-I237,I238)/86400000","=IF(H238=H237,I238-I237,I238)",,,current,236,True,578202819,87130876,True,True,True,True,True,1011,0.001,0.033,31.63,56.17,31.2,12.9,0,0,
"=A238+IF(H239=H238,I239-I238,I239)/86400000","=IF(H239=H238,I239-I238,I239)",,,current,237,True,578202819,87431844,True,True,True,True,True,1011,0.0,0.0,31.58,56.26,31.2,12.9,0,0,
"=A239+IF(H240=H239,I240-I239,I240)/86400000","=IF(H240=H239,I240-I239,I240)",,,current,238,True,578202819,87732818,True,True,True,True,True,1011,0.0,0.0,31.58,56.33,31.2,12.8,0,0,
"=A240+IF(H241=H240,I241-I240,I241)/86400000","=IF(H241=H240,I241-I240,I241)",,,current,239,True,578202819,88033790,True,True,True,True,True,1011,0.0,0.0,31.64,56.41,31.2,12.8,0,0,
"=A241+IF(H242=H241,I242-I241,I242)/86400000","=IF(H242=H241,I242-I241,I242)",,,current,240,True,578202819,88334765,True,True,True,True,True,1011,0.0,0.0,31.64,56.51,31.2,12.9,0,0,
"=A242+IF(H243=H242,I243-I242,I243)/86400000","=IF(H243=H242,I243-I242,I243)",,,current,241,True,578202819,88635745,True,True,True,True,True,1011,0.0,0.0,31.61,56.54,31.1,12.8,0,0,
"=A243+IF(H244=H243,I244-I243,I244)/86400000","=IF(H244=H243,I244-I243,I244)",,,current,242,True,578202819,88936709,True,True,True,True,True,1011,0.0,0.0,31.62,56.6,31.1,12.9,0,0,
"=A244+IF(H245=H244,I245-I244,I245)/86400000","=IF(H245=H244,I245-I244,I245)",,,current,243,True,578202819,89237673,True,True,True,True,True,1011,0.0,0.0,31.67,56.66,31.1,12.9,0,0,
"=A245+IF(H246=H245,I246-I245,I246)/86400000","=IF(H246=H245,I246-I245,I246)",,,current,244,True,578202819,89538642,True,True,True,True,True,1011,0.0,0.0,31.62,56.73,31.1,12.9,0,0,
"=A246+IF(H247=H246,I247-I246,I247)/86400000","=IF(H247=H246,I247-I246,I247)",,,current,245,True,578202819,89839612,True,True,True,True,True,1011,0.0,0.0,31.57,56.85,31.1,12.9,0,0,
