estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A541+IF(H542=H541,I542-I541,I542)/86400000","=IF(H542=H541,I542-I541,I542)",,,current,540,True,3045069830,73141549,True,True,True,True,True,1009,0.0,0.0,45.42,58.47,34.7,12.1,139,248,
"=A542+IF(H543=H542,I543-I542,I543)/86400000","=IF(H543=H542,I543-I542,I543)",,,current,541,True,3045069830,73442525,True,True,True,True,True,1009,0.0,0.0,42.53,57.42,34.7,12.1,129,145,
"=A543+IF(H544=H543,I544-I543,I544)/86400000","=IF(H544=H543,I544-I543,I544)",,,current,542,True,3045069830,73743504,True,True,True,True,True,1009,0.0,0.0,41.3,56.74,34.6,12.1,120,192,
"=A544+IF(H545=H544,I545-I544,I545)/86400000","=IF(H545=H544,I545-I544,I545)",,,current,543,True,3045069830,74044479,True,True,True,True,True,1009,0.0,0.0,40.63,56.43,34.5,12.0,110,225,
"=A545+IF(H546=H545,I546-I545,I546)/86400000","=IF(H546=H545,I546-I545,I546)",,,current,544,True,3045069830,74345459,True,True,True,True,True,1009,0.0,0.0,40.94,56.15,34.5,12.0,107,145,
"=A546+IF(H547=H546,I547-I546,I547)/86400000","=IF(H547=H546,I547-I546,I547)",,,current,545,True,3045069830,74646443,True,True,True,True,True,1009,0.0,0.0,40.92,56.13,34.5,12.0,100,165,
"=A547+IF(H548=H547,I548-I547,I548)/86400000","=IF(H548=H547,I548-I547,I548)",,,current,546,True,3045069830,74947428,True,True,True,True,True,1009,0.0,0.0,41.25,55.95,34.5,12.0,100,166,
"=A548+IF(H549=H548,I549-I548,I549)/86400000","=IF(H549=H548,I549-I548,I549)",,,current,547,True,3045069830,75248411,True,True,True,True,True,1009,0.0,0.0,41.95,55.92,34.5,12.0,99,160,
"=A549+IF(H550=H549,I550-I549,I550)/86400000","=IF(H550=H549,I550-I549,I550)",,,current,548,True,3045069830,75549397,True,True,True,True,True,1009,0.0,0.0,41.96,55.83,34.4,12.0,94,164,
"=A550+IF(H551=H550,I551-I550,I551)/86400000","=IF(H551=H550,I551-I550,I551)",,,current,549,True,3045069830,75850386,True,True,True,True,True,1009,0.0,0.0,41.44,55.6,34.4,12.0,91,165,
"=A551+IF(H552=H551,I552-I551,I552)/86400000","=IF(H552=H551,I552-I551,I552)",,,current,550,True,3045069830,76151409,True,True,True,True,True,1009,0.0,0.0,41.88,55.39,34.4,12.0,90,240,
"=A552+IF(H553=H552,I553-I552,I553)/86400000","=IF(H553=H552,I553-I552,I553)",,,current,551,True,3045069830,76452375,True,True,True,True,True,1009,0.004,0.099,41.36,55.19,34.3,12.0,84,164,
"=A553+IF(H554=H553,I554-I553,I554)/86400000","=IF(H554=H553,I554-I553,I554)",,,current,552,True,3045069830,76753345,True,True,True,True,True,1007,0.0,0.0,41.41,54.97,34.3,12.0,80,157,
"=A554+IF(H555=H554,I555-I554,I555)/86400000","=IF(H555=H554,I555-I554,I555)",,,current,553,True,3045069830,77054316,True,True,True,True,True,1009,0.0,0.0,41.46,54.87,34.3,12.0,79,168,
"=A555+IF(H556=H555,I556-I555,I556)/86400000","=IF(H556=H555,I556-I555,I556)",,,current,554,True,3045069830,77355288,True,True,True,True,True,1008,0.0,0.0,39.55,54.45,34.3,12.0,72,156,
"=A556+IF(H557=H556,I557-I556,I557)/86400000","=IF(H557=H556,I557-I556,I557)",,,current,555,True,3045069830,77656262,True,True,True,True,True,1008,0.0,0.0,40.38,54.35,34.3,12.0,75,153,
"=A557+IF(H558=H557,I558-I557,I558)/86400000","=IF(H558=H557,I558-I557,I558)",,,current,556,True,3045069830,77957241,True,True,True,True,True,1008,0.078,2.11,40.96,54.31,34.2,12.0,73,167,
"=A558+IF(H559=H558,I559-I558,I559)/86400000","=IF(H559=H558,I559-I558,I559)",,,current,557,True,3045069830,78258220,True,True,True,True,True,1008,0.0,0.0,41.23,54.36,34.2,12.0,73,167,
"=A559+IF(H560=H559,I560-I559,I560)/86400000","=IF(H560=H559,I560-I559,I560)",,,current,558,True,3045069830,78559201,True,True,True,True,True,1008,0.0,0.0,41.5,54.18,34.2,12.0,56,155,
"=A560+IF(H561=H560,I561-I560,I561)/86400000","=IF(H561=H560,I561-I560,I561)",,,current,559,True,3045069830,78860181,True,True,True,True,True,1008,0.0,0.0,41.44,54.13,34.2,12.0,72,190,
"=A561+IF(H562=H561,I562-I561,I562)/86400000","=IF(H562=H561,I562-I561,I562)",,,current,560,True,3045069830,79161167,True,True,True,True,True,1008,0.0,0.0,41.42,53.93,34.2,12.0,67,216,
"=A562+IF(H563=H562,I563-I562,I563)/86400000","=IF(H563=H562,I563-I562,I563)",,,current,561,True,3045069830,79462151,True,True,True,True,True,1008,0.0,0.0,39.84,53.68,34.2,12.0,19,76,
"=A563+IF(H564=H563,I564-I563,I564)/86400000","=IF(H564=H563,I564-I563,I564)",,,current,562,True,3045069830,79763150,True,True,True,True,True,1008,0.0,0.0,40.57,53.47,34.2,11.9,62,154,
"=A564+IF(H565=H564,I565-I564,I565)/86400000","=IF(H565=H564,I565-I564,I565)",,,current,563,True,3045069830,80064127,True,True,True,True,True,1008,0.0,0.0,40.89,53.44,34.2,11.9,63,164,
"=A565+IF(H566=H565,I566-I565,I566)/86400000","=IF(H566=H565,I566-I565,I566)",,,current,564,True,3045069830,80365106,True,True,True,True,True,1008,0.0,0.0,39.8,53.32,34.2,11.9,43,138,
"=A566+IF(H567=H566,I567-I566,I567)/86400000","=IF(H567=H566,I567-I566,I567)",,,current,565,True,3045069830,80666083,True,True,True,True,True,1008,0.022,0.593,39.25,53.03,34.1,11.9,67,183,
"=A567+IF(H568=H567,I568-I567,I568)/86400000","=IF(H568=H567,I568-I567,I568)",,,current,566,True,3045069830,80967099,True,True,True,True,True,1007,0.053,1.418,39.87,52.85,34.1,11.9,68,225,
"=A568+IF(H569=H568,I569-I568,I569)/86400000","=IF(H569=H568,I569-I568,I569)",,,current,567,True,3045069830,81268057,True,True,True,True,True,1008,0.0,0.0,39.82,52.65,34.1,11.9,62,182,
"=A569+IF(H570=H569,I570-I569,I570)/86400000","=IF(H570=H569,I570-I569,I570)",,,current,568,True,3045069830,81569013,True,True,True,True,True,1008,0.0,0.0,41.42,52.89,34.1,11.9,65,327,
"=A570+IF(H571=H570,I571-I570,I571)/86400000","=IF(H571=H570,I571-I570,I571)",,,current,569,True,3045069830,81869972,True,True,True,True,True,1008,0.0,0.0,41.79,53.1,34.2,11.9,67,222,
"=A571+IF(H572=H571,I572-I571,I572)/86400000","=IF(H572=H571,I572-I571,I572)",,,current,570,True,3045069830,82170936,True,True,True,True,True,1008,0.0,0.0,42.04,53.12,34.2,11.9,63,238,
"=A572+IF(H573=H572,I573-I572,I573)/86400000","=IF(H573=H572,I573-I572,I573)",,,current,571,True,3045069830,82471900,True,True,True,True,True,1007,0.0,0.0,41.27,52.73,34.2,11.9,52,303,
"=A573+IF(H574=H573,I574-I573,I574)/86400000","=IF(H574=H573,I574-I573,I574)",,,current,572,True,3045069830,82772865,True,True,True,True,True,1007,0.023,0.626,40.0,52.5,34.2,11.9,63,208,
"=A574+IF(H575=H574,I575-I574,I575)/86400000","=IF(H575=H574,I575-I574,I575)",,,current,573,True,3045069830,83073831,True,True,True,True,True,1007,0.0,0.0,39.68,52.14,34.2,11.9,18,69,
"=A575+IF(H576=H575,I576-I575,I576)/86400000","=IF(H576=H575,I576-I575,I576)",,,current,574,True,3045069830,83374801,True,True,True,True,True,1007,0.0,0.0,38.3,51.72,34.2,11.9,9,36,
"=A576+IF(H577=H576,I577-I576,I577)/86400000","=IF(H577=H576,I577-I576,I577)",,,current,575,True,3045069830,83675773,True,True,True,True,True,1007,0.0,0.0,37.82,51.49,34.2,11.8,6,22,
"=A577+IF(H578=H577,I578-I577,I578)/86400000","=IF(H578=H577,I578-I577,I578)",,,current,576,True,3045069830,83976745,True,True,True,True,True,1007,0.0,0.0,37.25,51.24,34.1,11.8,3,13,
"=A578+IF(H579=H578,I579-I578,I579)/86400000","=IF(H579=H578,I579-I578,I579)",,,current,577,True,3045069830,84277717,True,True,True,True,True,1007,0.0,0.0,36.41,51.06,34.1,11.8,3,10,
"=A579+IF(H580=H579,I580-I579,I580)/86400000","=IF(H580=H579,I580-I579,I580)",,,current,578,True,3045069830,84578694,True,True,True,True,True,1006,0.088,2.374,32.38,50.1,33.9,11.2,2,10,
"=A580+IF(H581=H580,I581-I580,I581)/86400000","=IF(H581=H580,I581-I580,I581)",,,current,579,True,3045069830,84879674,True,True,True,True,True,1007,0.0,0.0,29.1,48.77,33.5,13.0,2,9,
"=A581+IF(H582=H581,I582-I581,I582)/86400000","=IF(H582=H581,I582-I581,I582)",,,current,580,True,3045069830,85180651,True,True,True,True,True,1007,0.0,0.0,28.05,48.24,32.0,19.3,2,10,
"=A582+IF(H583=H582,I583-I582,I583)/86400000","=IF(H583=H582,I583-I582,I583)",,,current,581,True,3045069830,85481631,True,True,True,True,True,1007,0.147,3.956,28.07,48.28,31.1,24.4,3,15,
"=A583+IF(H584=H583,I584-I583,I584)/86400000","=IF(H584=H583,I584-I583,I584)",,,current,582,True,3045069830,85782650,True,True,True,True,True,1007,0.0,0.0,27.95,48.31,31.4,22.7,2,13,
"=A584+IF(H585=H584,I585-I584,I585)/86400000","=IF(H585=H584,I585-I584,I585)",,,current,583,True,3045069830,86083607,True,True,True,True,True,1007,0.0,0.0,28.24,48.58,31.5,21.6,2,11,
"=A585+IF(H586=H585,I586-I585,I586)/86400000","=IF(H586=H585,I586-I585,I586)",,,current,584,True,3045069830,86384565,True,True,True,True,True,1007,0.0,0.0,28.11,48.79,31.5,22.1,1,8,
"=A586+IF(H587=H586,I587-I586,I587)/86400000","=IF(H587=H586,I587-I586,I587)",,,current,585,True,3045069830,86685527,True,True,True,True,True,1007,0.0,0.0,27.8,48.9,31.3,22.9,1,6,
"=A587+IF(H588=H587,I588-I587,I588)/86400000","=IF(H588=H587,I588-I587,I588)",,,current,586,True,3045069830,86986493,True,True,True,True,True,1007,0.0,0.0,27.7,49.06,31.2,21.9,1,7,
"=A588+IF(H589=H588,I589-I588,I589)/86400000","=IF(H589=H588,I589-I588,I589)",设备重启,bootSessionId 变化，uptime 重置；土壤温湿度均为 0,current,587,True,2682537910,1338,True,True,True,True,True,1007,0.029,0.791,27.72,49.07,0.0,0.0,1,7,
"=A589+IF(H590=H589,I590-I589,I590)/86400000","=IF(H590=H589,I590-I589,I590)",,,current,588,True,2682537910,302318,True,True,True,True,True,1008,0.0,0.0,27.81,49.35,31.2,21.2,1,7,
"=A590+IF(H591=H590,I591-I590,I591)/86400000","=IF(H591=H590,I591-I590,I591)",,,current,589,True,2682537910,603284,True,True,True,True,True,1008,0.0,0.0,27.9,49.67,31.1,20.6,1,3,
"=A591+IF(H592=H591,I592-I591,I592)/86400000","=IF(H592=H591,I592-I591,I592)",,,current,590,True,2682537910,904255,True,True,True,True,True,1008,0.341,9.198,27.95,49.99,31.0,19.9,0,3,
"=A592+IF(H593=H592,I593-I592,I593)/86400000","=IF(H593=H592,I593-I592,I593)",,,current,591,True,2682537910,1205230,True,True,True,True,True,1008,0.094,2.538,27.91,50.21,30.9,19.6,1,6,
"=A593+IF(H594=H593,I594-I593,I594)/86400000","=IF(H594=H593,I594-I593,I594)",,,current,592,True,2682537910,1506206,True,True,True,True,True,1008,0.0,0.0,27.84,50.47,30.7,19.3,1,6,
"=A594+IF(H595=H594,I595-I594,I595)/86400000","=IF(H595=H594,I595-I594,I595)",,,current,593,True,2682537910,1807182,True,True,True,True,True,1008,0.0,0.0,27.6,50.74,30.6,19.1,2,11,
"=A595+IF(H596=H595,I596-I595,I596)/86400000","=IF(H596=H595,I596-I595,I596)",,,current,594,True,2682537910,2108160,True,True,True,True,True,1008,0.0,0.0,27.49,50.94,30.4,18.9,3,13,
"=A596+IF(H597=H596,I597-I596,I597)/86400000","=IF(H597=H596,I597-I596,I597)",,,current,595,True,2682537910,2409143,True,True,True,True,True,1007,0.0,0.0,27.43,51.16,30.4,18.6,3,15,
"=A597+IF(H598=H597,I598-I597,I598)/86400000","=IF(H598=H597,I598-I597,I598)",,,current,596,True,2682537910,2710127,True,True,True,True,True,1007,0.0,0.0,27.57,51.46,30.3,18.5,3,13,
"=A598+IF(H599=H598,I599-I598,I599)/86400000","=IF(H599=H598,I599-I598,I599)",,,current,597,True,2682537910,3011110,True,True,True,True,True,1008,0.0,0.0,27.71,51.81,30.2,18.4,2,11,
"=A599+IF(H600=H599,I600-I599,I600)/86400000","=IF(H600=H599,I600-I599,I600)",,,current,598,True,2682537910,3312131,True,True,True,True,True,1008,0.0,0.0,27.76,52.12,30.2,18.2,3,15,
"=A600+IF(H601=H600,I601-I600,I601)/86400000","=IF(H601=H600,I601-I600,I601)",,,current,599,True,2682537910,3613092,True,True,True,True,True,1007,0.048,1.286,27.86,52.41,30.2,18.0,3,15,
"=A601+IF(H602=H601,I602-I601,I602)/86400000","=IF(H602=H601,I602-I601,I602)",,,current,600,True,2682537910,3914054,True,True,True,True,True,1007,0.0,0.0,27.94,52.77,30.2,17.9,3,14,
"=A602+IF(H603=H602,I603-I602,I603)/86400000","=IF(H603=H602,I603-I602,I603)",,,current,601,True,2682537910,4215019,True,True,True,True,True,1008,0.0,0.0,28.11,52.99,30.1,17.8,3,13,
"=A603+IF(H604=H603,I604-I603,I604)/86400000","=IF(H604=H603,I604-I603,I604)",,,current,602,True,2682537910,4515988,True,True,True,True,True,1008,0.02,0.527,28.33,53.37,30.1,17.6,2,11,
"=A604+IF(H605=H604,I605-I604,I605)/86400000","=IF(H605=H604,I605-I604,I605)",,,current,603,True,2682537910,4816960,True,True,True,True,True,1006,0.0,0.0,28.33,53.7,30.0,17.6,2,11,
"=A605+IF(H606=H605,I606-I605,I606)/86400000","=IF(H606=H605,I606-I605,I606)",,,current,604,True,2682537910,5117930,True,True,True,True,True,1008,0.0,0.0,28.37,54.03,30.0,17.5,1,8,
"=A606+IF(H607=H606,I607-I606,I607)/86400000","=IF(H607=H606,I607-I606,I607)",,,current,605,True,2682537910,5418904,True,True,True,True,True,1008,0.0,0.0,28.44,54.26,30.0,17.4,1,8,
"=A607+IF(H608=H607,I608-I607,I608)/86400000","=IF(H608=H607,I608-I607,I608)",,,current,606,True,2682537910,5719879,True,True,True,True,True,1008,0.0,0.0,28.45,54.56,30.0,17.3,1,8,
"=A608+IF(H609=H608,I609-I608,I609)/86400000","=IF(H609=H608,I609-I608,I609)",,,current,607,True,2682537910,6020857,True,True,True,True,True,1008,0.0,0.0,28.51,54.85,30.0,17.3,1,8,
"=A609+IF(H610=H609,I610-I609,I610)/86400000","=IF(H610=H609,I610-I609,I610)",,,current,608,True,2682537910,6321832,True,True,True,True,True,1008,0.0,0.0,28.55,55.08,29.9,17.2,2,8,
"=A610+IF(H611=H610,I611-I610,I611)/86400000","=IF(H611=H610,I611-I610,I611)",,,current,609,True,2682537910,6622813,True,True,True,True,True,1008,0.0,0.0,28.55,55.39,29.9,17.1,2,9,
"=A611+IF(H612=H611,I612-I611,I612)/86400000","=IF(H612=H611,I612-I611,I612)",,,current,610,True,2682537910,6923795,True,True,True,True,True,1007,0.004,0.099,28.53,55.69,29.9,17.1,2,10,
"=A612+IF(H613=H612,I613-I612,I613)/86400000","=IF(H613=H612,I613-I612,I613)",,,current,611,True,2682537910,7224778,True,True,True,True,True,1007,0.0,0.0,28.55,55.95,29.9,17.0,2,11,
"=A613+IF(H614=H613,I614-I613,I614)/86400000","=IF(H614=H613,I614-I613,I614)",,,current,612,True,2682537910,7525760,True,True,True,True,True,1007,0.0,0.0,28.59,56.3,29.8,17.0,2,11,
"=A614+IF(H615=H614,I615-I614,I615)/86400000","=IF(H615=H614,I615-I614,I615)",,,current,613,True,2682537910,7826746,True,True,True,True,True,1007,0.0,0.0,28.64,56.5,29.8,16.9,2,10,
"=A615+IF(H616=H615,I616-I615,I616)/86400000","=IF(H616=H615,I616-I615,I616)",,,current,614,True,2682537910,8127767,True,True,True,True,True,1007,0.0,0.0,28.69,56.85,29.8,16.9,2,9,
"=A616+IF(H617=H616,I617-I616,I617)/86400000","=IF(H617=H616,I617-I616,I617)",,,current,615,True,2682537910,8428731,True,True,True,True,True,1007,0.0,0.0,28.64,57.08,29.7,16.8,2,7,
"=A617+IF(H618=H617,I618-I617,I618)/86400000","=IF(H618=H617,I618-I617,I618)",,,current,616,True,2682537910,8729696,True,True,True,True,True,1007,0.0,0.0,28.66,57.33,29.7,16.8,1,6,
"=A618+IF(H619=H618,I619-I618,I619)/86400000","=IF(H619=H618,I619-I618,I619)",,,current,617,True,2682537910,9030663,True,True,True,True,True,1007,0.0,0.0,28.57,57.6,29.6,16.8,1,6,
"=A619+IF(H620=H619,I620-I619,I620)/86400000","=IF(H620=H619,I620-I619,I620)",,,current,618,True,2682537910,9331632,True,True,True,True,True,1007,0.0,0.0,28.51,57.8,29.6,16.7,1,7,
"=A620+IF(H621=H620,I621-I620,I621)/86400000","=IF(H621=H620,I621-I620,I621)",,,current,619,True,2682537910,9632603,True,True,True,True,True,1007,0.0,0.0,28.5,58.06,29.6,16.7,1,7,
"=A621+IF(H622=H621,I622-I621,I622)/86400000","=IF(H622=H621,I622-I621,I622)",,,current,620,True,2682537910,9933577,True,True,True,True,True,1007,0.0,0.0,28.57,58.31,29.6,16.7,1,8,
"=A622+IF(H623=H622,I623-I622,I623)/86400000","=IF(H623=H622,I623-I622,I623)",,,current,621,True,2682537910,10234550,True,True,True,True,True,1007,0.0,0.0,28.6,58.63,29.6,16.6,2,9,
"=A623+IF(H624=H623,I624-I623,I624)/86400000","=IF(H624=H623,I624-I623,I624)",,,current,622,True,2682537910,10535529,True,True,True,True,True,1007,0.0,0.0,28.65,58.84,29.6,16.6,2,11,
"=A624+IF(H625=H624,I625-I624,I625)/86400000","=IF(H625=H624,I625-I624,I625)",,,current,623,True,2682537910,10836510,True,True,True,True,True,1007,0.0,0.0,28.68,59.13,29.5,16.6,3,17,
"=A625+IF(H626=H625,I626-I625,I626)/86400000","=IF(H626=H625,I626-I625,I626)",,,current,624,True,2682537910,11137489,True,True,True,True,True,1007,0.0,0.0,28.86,59.35,29.5,16.6,5,24,
"=A626+IF(H627=H626,I627-I626,I627)/86400000","=IF(H627=H626,I627-I626,I627)",,,current,625,True,2682537910,11438472,True,True,True,True,True,1007,0.0,0.0,29.1,59.77,29.5,16.6,6,28,
"=A627+IF(H628=H627,I628-I627,I628)/86400000","=IF(H628=H627,I628-I627,I628)",,,current,626,True,2682537910,11739458,True,True,True,True,True,1007,0.0,0.0,29.23,60.06,29.5,16.5,5,25,
"=A628+IF(H629=H628,I629-I628,I629)/86400000","=IF(H629=H628,I629-I628,I629)",,,current,627,True,2682537910,12040443,True,True,True,True,True,1007,0.125,3.363,29.32,60.31,29.5,16.5,4,21,
"=A629+IF(H630=H629,I630-I629,I630)/86400000","=IF(H630=H629,I630-I629,I630)",,,current,628,True,2682537910,12341429,True,True,True,True,True,1007,0.0,0.0,29.37,60.6,29.5,16.5,3,14,
"=A630+IF(H631=H630,I631-I630,I631)/86400000","=IF(H631=H630,I631-I630,I631)",,,current,629,True,2682537910,12642418,True,True,True,True,True,1007,0.0,0.0,29.37,60.84,29.5,16.5,2,10,
"=A631+IF(H632=H631,I632-I631,I632)/86400000","=IF(H632=H631,I632-I631,I632)",,,current,630,True,2682537910,12943444,True,True,True,True,True,1007,0.0,0.0,29.31,61.06,29.5,16.5,1,6,
"=A632+IF(H633=H632,I633-I632,I633)/86400000","=IF(H633=H632,I633-I632,I633)",,,current,631,True,2682537910,13244414,True,True,True,True,True,1008,0.0,0.0,29.23,61.28,29.5,16.5,1,3,
"=A633+IF(H634=H633,I634-I633,I634)/86400000","=IF(H634=H633,I634-I633,I634)",,,current,632,True,2682537910,13545385,True,True,True,True,True,1008,0.0,0.0,29.16,61.51,29.4,16.5,0,3,
"=A634+IF(H635=H634,I635-I634,I635)/86400000","=IF(H635=H634,I635-I634,I635)",,,current,633,True,2682537910,13846358,True,True,True,True,True,1008,0.0,0.0,29.12,61.67,29.4,16.4,0,2,
"=A635+IF(H636=H635,I636-I635,I636)/86400000","=IF(H636=H635,I636-I635,I636)",,,current,634,True,2682537910,14147334,True,True,True,True,True,1008,0.0,0.0,29.06,61.88,29.4,16.4,0,2,
"=A636+IF(H637=H636,I637-I636,I637)/86400000","=IF(H637=H636,I637-I636,I637)",,,current,635,True,2682537910,14448311,True,True,True,True,True,1008,0.0,0.0,29.05,62.13,29.4,16.4,0,1,
"=A637+IF(H638=H637,I638-I637,I638)/86400000","=IF(H638=H637,I638-I637,I638)",,,current,636,True,2682537910,14749288,True,True,True,True,True,1008,0.0,0.0,29.04,62.34,29.4,16.4,0,1,
"=A638+IF(H639=H638,I639-I638,I639)/86400000","=IF(H639=H638,I639-I638,I639)",,,current,637,True,2682537910,15050269,True,True,True,True,True,1008,0.0,0.0,29.07,62.62,29.4,16.4,0,0,
"=A639+IF(H640=H639,I640-I639,I640)/86400000","=IF(H640=H639,I640-I639,I640)",,,current,638,True,2682537910,15351251,True,True,True,True,True,1008,0.0,0.0,29.11,62.86,29.3,16.4,0,0,
"=A640+IF(H641=H640,I641-I640,I641)/86400000","=IF(H641=H640,I641-I640,I641)",,,current,639,True,2682537910,15652234,True,True,True,True,True,1008,0.0,0.0,29.17,63.09,29.4,16.4,0,0,
"=A641+IF(H642=H641,I642-I641,I642)/86400000","=IF(H642=H641,I642-I641,I642)",,,current,640,True,2682537910,15953219,True,True,True,True,True,1006,0.0,0.0,29.16,63.3,29.3,16.4,0,0,
"=A642+IF(H643=H642,I643-I642,I643)/86400000","=IF(H643=H642,I643-I642,I643)",,,current,641,True,2682537910,16254205,True,True,True,True,True,1008,0.0,0.0,29.19,63.52,29.3,16.4,0,0,
"=A643+IF(H644=H643,I644-I643,I644)/86400000","=IF(H644=H643,I644-I643,I644)",,,current,642,True,2682537910,16555210,True,True,True,True,True,1008,0.0,0.0,29.21,63.76,29.3,16.3,0,0,
"=A644+IF(H645=H644,I645-I644,I645)/86400000","=IF(H645=H644,I645-I644,I645)",,,current,643,True,2682537910,16856188,True,True,True,True,True,1008,0.0,0.0,29.26,63.99,29.3,16.3,0,0,
"=A645+IF(H646=H645,I646-I645,I646)/86400000","=IF(H646=H645,I646-I645,I646)",,,current,644,True,2682537910,17157166,True,True,True,True,True,1008,0.0,0.0,29.26,64.21,29.3,16.3,0,0,
"=A646+IF(H647=H646,I647-I646,I647)/86400000","=IF(H647=H646,I647-I646,I647)",,,current,645,True,2682537910,17458146,True,True,True,True,True,1008,0.053,1.418,29.27,64.46,29.3,16.3,0,0,
"=A647+IF(H648=H647,I648-I647,I648)/86400000","=IF(H648=H647,I648-I647,I648)",,,current,646,True,2682537910,17759163,True,True,True,True,True,1008,0.0,0.0,29.29,64.67,29.3,16.3,0,0,
"=A648+IF(H649=H648,I649-I648,I649)/86400000","=IF(H649=H648,I649-I648,I649)",,,current,647,True,2682537910,18060118,True,True,True,True,True,1008,0.0,0.0,29.28,64.86,29.3,16.3,0,0,
"=A649+IF(H650=H649,I650-I649,I650)/86400000","=IF(H650=H649,I650-I649,I650)",,,current,648,True,2682537910,18361076,True,True,True,True,True,1009,0.0,0.0,29.34,65.05,29.3,16.3,0,0,
"=A650+IF(H651=H650,I651-I650,I651)/86400000","=IF(H651=H650,I651-I650,I651)",,,current,649,True,2682537910,18662036,True,True,True,True,True,1009,0.0,0.0,29.44,65.26,29.3,16.3,0,0,
"=A651+IF(H652=H651,I652-I651,I652)/86400000","=IF(H652=H651,I652-I651,I652)",,,current,650,True,2682537910,18962999,True,True,True,True,True,1009,0.0,0.0,29.54,65.54,29.3,16.3,0,0,
"=A652+IF(H653=H652,I653-I652,I653)/86400000","=IF(H653=H652,I653-I652,I653)",,,current,651,True,2682537910,19263961,True,True,True,True,True,1009,0.0,0.0,29.56,65.74,29.3,16.3,0,0,
"=A653+IF(H654=H653,I654-I653,I654)/86400000","=IF(H654=H653,I654-I653,I654)",,,current,652,True,2682537910,19564926,True,True,True,True,True,1009,0.0,0.0,29.54,65.94,29.3,16.3,0,0,
"=A654+IF(H655=H654,I655-I654,I655)/86400000","=IF(H655=H654,I655-I654,I655)",,,current,653,True,2682537910,19865894,True,True,True,True,True,1009,0.0,0.0,29.51,66.15,29.3,16.2,0,0,
"=A655+IF(H656=H655,I656-I655,I656)/86400000","=IF(H656=H655,I656-I655,I656)",,,current,654,True,2682537910,20166867,True,True,True,True,True,1009,0.0,0.0,29.64,66.3,29.3,16.3,0,0,
"=A656+IF(H657=H656,I657-I656,I657)/86400000","=IF(H657=H656,I657-I656,I657)",,,current,655,True,2682537910,20467838,True,True,True,True,True,1009,0.0,0.0,29.77,66.59,29.3,16.3,0,0,
"=A657+IF(H658=H657,I658-I657,I658)/86400000","=IF(H658=H657,I658-I657,I658)",,,current,656,True,2682537910,20768811,True,True,True,True,True,1009,0.0,0.0,29.85,66.79,29.3,16.2,0,0,
"=A658+IF(H659=H658,I659-I658,I659)/86400000","=IF(H659=H658,I659-I658,I659)",,,current,657,True,2682537910,21069786,True,True,True,True,True,1009,0.0,0.0,29.83,67.01,29.3,16.2,0,0,
"=A659+IF(H660=H659,I660-I659,I660)/86400000","=IF(H660=H659,I660-I659,I660)",,,current,658,True,2682537910,21370763,True,True,True,True,True,1009,0.01,0.264,29.77,67.17,29.3,16.2,0,0,
"=A660+IF(H661=H660,I661-I660,I661)/86400000","=IF(H661=H660,I661-I660,I661)",,,current,659,True,2682537910,21671740,True,True,True,True,True,1009,0.0,0.0,29.75,67.4,29.3,16.2,0,0,
"=A661+IF(H662=H661,I662-I661,I662)/86400000","=IF(H662=H661,I662-I661,I662)",,,current,660,True,2682537910,21972724,True,True,True,True,True,1009,0.0,0.0,29.72,67.52,29.3,16.2,0,0,
"=A662+IF(H663=H662,I663-I662,I663)/86400000","=IF(H663=H662,I663-I662,I663)",,,current,661,True,2682537910,22273706,True,True,True,True,True,1009,0.0,0.0,29.71,67.74,29.3,16.2,0,0,
"=A663+IF(H664=H663,I664-I663,I664)/86400000","=IF(H664=H663,I664-I663,I664)",,,current,662,True,2682537910,22574724,True,True,True,True,True,1009,0.0,0.0,29.67,67.89,29.2,16.2,0,0,
"=A664+IF(H665=H664,I665-I664,I665)/86400000","=IF(H665=H664,I665-I664,I665)",,,current,663,True,2682537910,22875682,True,True,True,True,True,1009,0.0,0.0,29.63,68.04,29.3,16.2,0,0,
"=A665+IF(H666=H665,I666-I665,I666)/86400000","=IF(H666=H665,I666-I665,I666)",,,current,664,True,2682537910,23176643,True,True,True,True,True,1009,0.0,0.0,29.58,68.22,29.3,16.2,0,0,
"=A666+IF(H667=H666,I667-I666,I667)/86400000","=IF(H667=H666,I667-I666,I667)",,,current,665,True,2682537910,23477607,True,True,True,True,True,1009,0.0,0.0,29.53,68.37,29.3,16.2,0,0,
"=A667+IF(H668=H667,I668-I667,I668)/86400000","=IF(H668=H667,I668-I667,I668)",,,current,666,True,2682537910,23778573,True,True,True,True,True,1009,0.0,0.0,29.47,68.53,29.2,16.2,0,0,
"=A668+IF(H669=H668,I669-I668,I669)/86400000","=IF(H669=H668,I669-I668,I669)",,,current,667,True,2682537910,24079542,True,True,True,True,True,1010,0.0,0.0,29.49,68.7,29.2,16.2,0,0,
"=A669+IF(H670=H669,I670-I669,I670)/86400000","=IF(H670=H669,I670-I669,I670)",,,current,668,True,2682537910,24380511,True,True,True,True,True,1010,0.0,0.0,29.51,68.87,29.2,16.2,0,0,
