estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A25+IF(H26=H25,I26-I25,I26)/86400000","=IF(H26=H25,I26-I25,I26)",,,current,24,True,3906736965,7344081,True,True,True,True,True,1009,0.0,0.0,38.22,54.76,33.5,13.3,52,170,
"=A26+IF(H27=H26,I27-I26,I27)/86400000","=IF(H27=H26,I27-I26,I27)",,,current,25,True,3906736965,7645042,True,True,True,True,True,1009,0.028,0.758,37.81,54.77,33.5,13.3,15,62,
"=A27+IF(H28=H27,I28-I27,I28)/86400000","=IF(H28=H27,I28-I27,I28)",,,current,26,True,3906736965,7946004,True,True,True,True,True,1009,0.0,0.0,36.65,54.55,33.5,13.3,10,44,
"=A28+IF(H29=H28,I29-I28,I29)/86400000","=IF(H29=H28,I29-I28,I29)",,,current,27,True,3906736965,8246971,True,True,True,True,True,1009,0.016,0.429,35.27,53.97,33.5,13.3,8,33,
"=A29+IF(H30=H29,I30-I29,I30)/86400000","=IF(H30=H29,I30-I29,I30)",,,current,28,True,3906736965,8547939,True,True,True,True,True,1009,0.032,0.857,33.36,53.54,33.4,13.3,4,20,
"=A30+IF(H31=H30,I31-I30,I31)/86400000","=IF(H31=H30,I31-I30,I31)",,,current,29,True,3906736965,8848909,True,True,True,True,True,1009,0.054,1.451,30.37,52.79,33.2,12.8,4,17,
"=A31+IF(H32=H31,I32-I31,I32)/86400000","=IF(H32=H31,I32-I31,I32)",,,current,30,True,3906736965,9149879,True,True,True,True,True,1009,0.023,0.626,28.53,51.89,32.9,15.1,4,19,
"=A32+IF(H33=H32,I33-I32,I33)/86400000","=IF(H33=H32,I33-I32,I33)",,,current,31,True,3906736965,9450853,True,True,True,True,True,1009,0.106,2.868,30.19,52.2,32.7,15.1,4,20,
"=A33+IF(H34=H33,I34-I33,I34)/86400000","=IF(H34=H33,I34-I33,I34)",,,current,32,True,3906736965,9751828,True,True,True,True,True,1009,0.021,0.56,29.43,52.31,32.5,14.6,4,16,
"=A34+IF(H35=H34,I35-I34,I35)/86400000","=IF(H35=H34,I35-I34,I35)",,,current,33,True,3906736965,10052807,True,True,True,True,True,1009,0.0,0.0,28.89,52.26,32.2,14.4,4,17,
"=A35+IF(H36=H35,I36-I35,I36)/86400000","=IF(H36=H35,I36-I35,I36)",,,current,34,True,3906736965,10353783,True,True,True,True,True,1009,0.0,0.0,28.78,52.38,32.0,14.3,4,18,
"=A36+IF(H37=H36,I37-I36,I37)/86400000","=IF(H37=H36,I37-I36,I37)",,,current,35,True,3906736965,10654765,True,True,True,True,True,1009,0.0,0.0,28.7,52.47,31.9,14.3,4,17,
"=A37+IF(H38=H37,I38-I37,I38)/86400000","=IF(H38=H37,I38-I37,I38)",,,current,36,True,3906736965,10955747,True,True,True,True,True,1009,0.0,0.0,28.9,52.62,31.8,14.2,4,15,
"=A38+IF(H39=H38,I39-I38,I39)/86400000","=IF(H39=H38,I39-I38,I39)",,,current,37,True,3906736965,11256729,True,True,True,True,True,1009,0.0,0.0,29.1,52.97,31.8,14.2,4,15,
