source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
current,167,True,578202819,50290277,True,True,True,True,True,1011,0.0,0.0,39.33,59.7,33.3,12.9,42,112
current,168,True,578202819,50591225,True,True,True,True,True,1011,0.0,0.0,39.04,59.58,33.3,12.9,42,109
current,169,True,578202819,50892175,True,True,True,True,True,1011,0.0,0.0,39.15,59.49,33.3,12.8,42,119
current,170,True,578202819,51193127,True,True,True,True,True,1011,0.0,0.0,39.27,59.37,33.3,12.9,43,130
current,171,True,578202819,51494079,True,True,True,True,True,1010,0.0,0.0,39.01,59.25,33.3,12.8,39,198
current,172,True,578202819,51795035,True,True,True,True,True,1010,0.0,0.0,39.23,59.35,33.3,12.8,11,50
current,173,True,578202819,52095991,True,True,True,True,True,1011,0.0,0.0,39.22,59.03,33.3,12.8,42,175
current,174,True,578202819,52396952,True,True,True,True,True,1011,0.0,0.0,39.59,59.04,33.3,12.8,45,135
current,175,True,578202819,52697916,True,True,True,True,True,1010,0.0,0.0,39.83,59.02,33.3,12.8,38,113
current,176,True,578202819,52998881,True,True,True,True,True,1010,0.0,0.0,39.61,58.9,33.3,12.8,44,135
current,177,True,578202819,53299849,True,True,True,True,True,1010,0.0,0.0,39.87,58.81,33.3,12.8,44,175
current,178,True,578202819,53600816,True,True,True,True,True,1010,0.0,0.0,40.18,58.81,33.3,12.8,41,128
current,179,True,578202819,53918476,True,True,True,True,True,1010,0.0,0.0,39.61,58.62,33.3,12.8,42,209
current,180,True,578202819,54219449,True,True,True,True,True,1010,0.0,0.0,39.68,58.45,33.3,12.8,43,128
current,181,True,578202819,54520422,True,True,True,True,True,1010,0.0,0.0,39.41,58.24,33.3,12.7,42,126
current,182,True,578202819,54821429,True,True,True,True,True,1010,0.094,2.538,39.33,58.16,33.3,12.7,41,135
current,183,True,578202819,55122377,True,True,True,True,True,1010,0.0,0.0,39.23,58.04,33.3,12.7,8,34
current,184,True,578202819,55423328,True,True,True,True,True,1010,0.0,0.0,38.05,57.62,33.2,12.7,7,27
current,185,True,578202819,55724279,True,True,True,True,True,1010,0.0,0.0,37.37,57.34,33.2,13.1,7,31
